t_s,controller,phase,x,y,z,roll,pitch,yaw,wx,wy,wz,des_yaw,yaw_err,u_yaw_Nm,depth_err,u_depth_Nm,pitch_err,u_pitch_Nm,roll_err,u_roll_Nm,hipR_ref,kneeR_ref,ankleR_ref,hipL_ref,kneeL_ref,ankleL_ref,tau_hipR,tau_kneeR,tau_ankleR,tau_hipL,tau_kneeL,tau_ankleL,wp_idx,wp_x,wp_y,dist_to_wp
0.004,pid_ff,soft_start,0.00010382775479345223,-2.755162688873152e-10,1.2013990897513802,-5.615012146116235e-19,-0.004642797055456957,3.14159,-1.3314786659536823e-16,-0.31569255665306967,-3.182877612446581e-16,-2.356173724155069,0.785421583024517,0.0,0.40139908975138017,0.0,0.17035720294454304,0.0,5.615012146116235e-19,0.0,9.029021078196039e-05,-4.33667909743795e-05,4.1863000436490676e-05,9.029021078190486e-05,-4.336679097430231e-05,4.186300043649069e-05,-0.00046265365059990624,-0.07553154542076015,-1.3446380057727915e-05,-0.0004626536506009789,-0.07553154542075399,-1.3446380057727915e-05,0,2.5,2.5,3.5354604895803625
0.008,pid_ff,soft_start,0.000136783376249474,-3.6296696907838724e-10,1.201857797596061,3.6808228079571405e-18,-0.00606085702179829,3.14159,1.0711417591300706e-15,-0.3540096250805156,-1.8465793983234413e-16,-2.3561671326961005,0.7854281744834859,0.0,0.4018577975960609,0.0,0.1689391429782017,0.0,-3.6808228079571405e-18,0.0,9.051978687695078e-05,-4.405581866690948e-05,4.1173860576870975e-05,9.051978687689526e-05,-4.4055818666832294e-05,4.117386057687099e-05,-0.005202104012580988,0.004580022416358569,-0.00014399701737847806,-0.005202104012579815,0.004580022416356599,-0.0001439970173780709,0,2.5,2.5,3.5354371870595127
0.012,pid_ff,soft_start,0.00017164055792176437,-4.554636311697902e-10,1.2023778432266732,1.9935133752987624e-19,-0.00761038813347034,3.14159,-7.706484368716979e-16,-0.386830570461502,5.896656149373467e-16,-2.3561601608112217,0.7854351463683642,0.0,0.40237784322667314,0.0,0.16738961186652965,0.0,-1.9935133752987624e-19,0.0,9.11397264594412e-05,-4.591644592450468e-05,3.9312930427030965e-05,9.113972645938567e-05,-4.591644592442749e-05,3.931293042703098e-05,-0.0055079547585024455,0.004910651182184261,-0.00030045566041459577,-0.005507954758502458,0.004910651182183606,-0.0003004556604142281,0,2.5,2.5,3.5354125401356193
0.016,pid_ff,soft_start,0.00020877304200958826,-5.539980121267351e-10,1.202958062438566,-8.402531009213635e-19,-0.009272500638278986,3.14159,-3.995102286011422e-16,-0.4149358105403945,-1.9110658624228463e-17,-2.3561527337296475,0.7854425734499388,0.0,0.402958062438566,0.0,0.16572749936172101,0.0,8.402531009213635e-19,0.0,9.234062248514804e-05,-4.952070018101107e-05,3.5708089432553185e-05,9.234062248509251e-05,-4.9520700180933876e-05,3.57080894325532e-05,-0.004791707336113447,0.003598532656308752,-0.0003178053458341712,-0.00479170733611318,0.0035985326563086296,-0.0003178053458338379,0,2.5,2.5,3.535386284572893
0.020,pid_ff,soft_start,0.0002480571883218276,-6.582420212510988e-10,1.2035973318055837,4.349105370310326e-18,-0.011029079036209127,3.14159,1.3331151555818346e-15,-0.43851863145836434,-6.676782130761543e-16,-2.356144876161656,0.7854504310179298,0.0,0.40359733180558366,0.0,0.16397092096379087,0.0,-4.349105370310326e-18,0.0,9.430994308804022e-05,-5.5431230329715734e-05,2.979659710631539e-05,9.43099430879847e-05,-5.5431230329638546e-05,2.9796597106315405e-05,-0.003923217595118698,0.002224515386650288,-0.00030446451884242037,-0.003923217595116979,0.0022245153866501817,-0.0003044645188417155,0,2.5,2.5,3.535358507829435
0.024,pid_ff,soft_start,0.0002892187419686287,-7.674678988987103e-10,1.2042946022252359,6.437281580022707e-18,-0.012864104855939359,3.14159,9.779518205129293e-16,-0.4581025424203898,-7.96465927688781e-16,-2.3561366429444295,0.7854586642351569,0.0,0.40429460222523583,0.0,0.16213589514406063,0.0,-6.437281580022707e-18,0.0,9.723204851704244e-05,-6.420135755554499e-05,2.102504218801744e-05,9.723204851698693e-05,-6.42013575554678e-05,2.1025042188017453e-05,-0.003097317573661365,0.0011244492427551398,-0.00030726434386514417,-0.003097317573659235,0.0011244492427674824,-0.00030726434386451425,0,2.5,2.5,3.535329403856871
0.028,pid_ff,soft_start,0.00033197774796608334,-8.809327607288856e-10,1.205048899357637,-6.172399616850917e-19,-0.01476414664346201,3.14159,-1.8570209191841452e-15,-0.4743333754896601,-7.987526980566058e-16,-2.356128090058001,0.7854672171215853,0.0,0.4050488993576369,0.0,0.16023585335653798,0.0,6.172399616850917e-19,0.0,0.00010128820807273842,-7.637512616726254e-05,8.849291803708085e-06,0.0001012882080726829,-7.637512616718536e-05,8.849291803708099e-06,-0.002332084881330404,0.00031047507616716605,-0.0003375368515466281,-0.0023320848813449422,0.00031047507617833637,-0.00033753685154337947,0,2.5,2.5,3.535299170632389
0.032,pid_ff,soft_start,0.0003760960177065466,-9.980045504793465e-10,1.2058593124087378,-1.6704500690907785e-18,-0.01671846990700135,3.14159,-5.611720459218975e-16,-0.4878844100389806,1.9816672485093557e-17,-2.3561192651309906,0.7854760420485958,0.0,0.40585931240873774,0.0,0.15828153009299864,0.0,1.6704500690907785e-18,0.0,0.0001066566170440741,-9.248735442966762e-05,-7.265559374688048e-06,0.00010665661704401857,-9.248735442959042e-05,-7.2655593746880344e-06,-0.0016084807219858724,-0.00027415614346138514,-0.00039488204091678146,-0.0016084807219809104,-0.0002741561434636648,-0.000394882040916999,0,2.5,2.5,3.5352679765966406
0.036,pid_ff,soft_start,0.00042138895977689703,-1.1181934395863477e-09,1.2067249761116134,5.5728219188039416e-18,-0.0187189374006335,3.1415899999999994,1.4588403658307855e-15,-0.49940403206778494,-2.7358767887961374e-16,-2.3561102050736054,0.7854851021059819,0.0,0.4067249761116134,0.0,0.1562810625993665,0.0,-5.5728219188039416e-18,0.0,0.00011351241364506092,-0.0001130636853957932,-2.7845239969843823e-05,0.00011351241364500541,-0.00011306368539571601,-2.784523996984381e-05,-0.0009068159880966987,-0.0006875735582718894,-0.0004758076986823066,-0.0009068159881096582,-0.0006875735582738652,-0.0004758076986824956,0,2.5,2.5,3.535235952289569
0.040,pid_ff,soft_start,0.0004677245460009157,-1.2411490775404327e-09,1.207645050383507,-2.6167276706149323e-18,-0.0207597674773166,3.14159,-1.7965184929785886e-15,-0.5094803020589531,-3.0881932333205536e-17,-2.356100936283719,0.7854943708958668,0.0,0.40764505038350696,0.0,0.15424023252268337,0.0,2.6167276706149323e-18,0.0,0.00012202769595147905,-0.00013862063773910406,-5.340635273950243e-05,0.00012202769595142354,-0.00013862063773902687,-5.340635273950242e-05,-0.00021359066493583355,-0.0009752364172996423,-0.0005763502054381859,-0.00021359066494598222,-0.0009752364173013547,-0.0005763502054381631,0,2.5,2.5,3.535203191082797
0.044,pid_ff,soft_start,0.0005150174132202976,-1.366644947201259e-09,1.2086187008304594,-7.313568261395314e-18,-0.0228372053259664,3.14159,-1.2647794506758287e-15,-0.5186192069730168,1.900178756466011e-16,-2.356091475825926,0.78550383135366,0.0,0.40861870083045937,0.0,0.1521627946740336,0.0,7.313568261395314e-18,0.0,0.00013237153883758062,-0.00016966565658569494,-8.44564254169508e-05,0.0001323715388375251,-0.00016966565658561774,-8.44564254169508e-05,0.00047937440459210274,-0.0011699699621597294,-0.0006928071506668165,0.00047937440460135944,-0.0011699699621612134,-0.0006928071506637774,0,2.5,2.5,3.5351697533513238
0.048,pid_ff,soft_start,0.0005632211425613976,-1.4945578708778236e-09,1.2096450820654379,-8.503257232830032e-18,-0.024949152751125542,3.14159,-2.396866788510566e-16,-0.527234310625739,-9.457991730290123e-16,-2.356081832975246,0.7855134742043397,0.0,0.4096450820654378,0.0,0.15005084724887444,0.0,8.503257232830032e-18,0.0,0.00014471001091279298,-0.00020669716434648883,-0.0001214939615514927,0.00014471001091273747,-0.00020669716434641163,-0.0001214939615514927,0.0011771596627120386,-0.0012948170486065291,-0.0008219234067165562,0.001177159662720814,-0.0012948170486078154,-0.0008219234067168395,0,2.5,2.5,3.535135671933687
0.052,pid_ff,soft_start,0.0006123201095585801,-1.6248463889605604e-09,1.2107233248013411,-1.3148262669622966e-17,-0.027094792786381123,3.14159,-2.1850915119500158e-16,-0.5356454639380293,-3.145748577077248e-16,-2.3560720108468027,0.7855232963327836,0.0,0.4107233248013411,0.0,0.14790520721361886,0.0,1.3148262669622966e-17,0.0,0.0001592061914584219,-0.0002502046115494349,-0.00016500849134892172,0.00015920619145836642,-0.0002502046115493577,-0.00016500849134892172,0.0018836472318289723,-0.0013658028281780404,-0.0009609254662481708,0.0018836472318181576,-0.0013658028281898183,-0.000960925466248614,0,2.5,2.5,3.5351009578953123
0.056,pid_ff,soft_start,0.0006623216795340083,-1.7575300448662225e-09,1.211852526931362,-8.574581881636258e-18,-0.02927423604608061,3.14159,7.116279801406988e-16,-0.5440842317487803,4.6956582449068e-16,-2.356062007956582,0.7855332992230046,0.0,0.411852526931362,0.0,0.14572576395391937,0.0,8.574581881636258e-18,0.0,0.0001760201873643548,-0.0003006685276717069,-0.0002154806225119946,0.00017602018736429933,-0.00030066852767162973,-0.0002154806225119946,0.002602778173504457,-0.0013940622310931899,-0.001107509257349533,0.002602778173494254,-0.0013940622310904993,-0.0011075092573499827,0,2.5,2.5,3.5350656060475014
0.060,pid_ff,soft_start,0.0007132492154012979,-1.892670834954914e-09,1.2130317483189714,-4.218594752333584e-19,-0.03148820687951381,3.14159,1.4831872883376005e-15,-0.5527038292413226,1.2599272232348427e-15,-2.3560518196198177,0.7855434875597691,0.0,0.4130317483189714,0.0,0.14351179312048618,0.0,4.218594752333584e-19,0.0,0.00019530915006576405,-0.00035856057197190084,-0.00027338209108090407,0.00019530915006570857,-0.00035856057197182365,-0.000273382091080904,0.003339215703293653,-0.00138736548364063,-0.0012598051276623812,0.0033392157033022233,-0.001387365483625684,-0.0012598051276630474,0,2.5,2.5,3.535029599891745
0.064,pid_ff,soft_start,0.0007651361598617721,-2.0303575025149405e-09,1.2142600087511388,-6.113498864850525e-17,-0.03373777956385183,3.14159,-1.5149361101825675e-14,-0.5615916138006701,1.1123431042512705e-16,-2.3560414391345783,0.7855538680450085,0.0,0.4142600087511388,0.0,0.14126222043614817,0.0,6.113498864850525e-17,0.0,0.00021722729247981027,-0.0004243435843222342,-0.0003391758122737528,0.00021722729247975478,-0.000424343584322157,-0.00033917581227375275,0.004098552434852993,-0.001351179051279683,-0.001416336199301401,0.004098552434844495,-0.001351179051280524,-0.0014163361992983112,0,2.5,2.5,3.534992915804192
0.068,pid_ff,soft_start,0.0008180212963351922,-2.1706929613400595e-09,1.2155362884055259,-4.435680539490552e-17,-0.036024168260691394,3.14159,4.705441185286409e-15,-0.570782506758809,9.88308696938833e-16,-2.356030858729666,0.7855644484499198,0.0,0.4155362884055258,0.0,0.1389758317393086,0.0,4.435680539490552e-17,0.0,0.00024192590594234524,-0.0004984716360407425,-0.00041331593132702525,0.00024192590594228976,-0.0004984716360406653,-0.0004133159313270252,0.004887208634209176,-0.0012893879564506302,-0.0015759554059693271,0.004887208634218519,-0.0012893879564511864,-0.001575955405966947,0,2.5,2.5,3.5349555263865247
0.072,pid_ff,soft_start,0.0008719451725206904,-2.3137848078247834e-09,1.2168595301885854,-2.6970723630838486e-17,-0.038348569421197055,3.14159,4.3283824043455625e-15,-0.5802720868582304,-9.84550516560651e-17,-2.356020070280013,0.7855752368995734,0.0,0.41685953018858535,0.0,0.13665143057880294,0.0,2.6970723630838486e-17,0.0,0.0002695533771446156,-0.0005813900807234789,-0.000496247874336062,0.0002695533771445601,-0.0005813900807234018,-0.000496247874336062,0.0057121523034461465,-0.0012047774884408622,-0.0017377934605285385,0.0057121523034374694,-0.0012047774884417642,-0.001737793460529421,0,2.5,2.5,3.534917402994687
0.076,pid_ff,soft_start,0.0009269475845588712,-2.4597386468981724e-09,1.2182286433693341,-3.4479988232228554e-17,-0.04071205177876142,3.14159,-1.8673363155994084e-15,-0.590028470178855,-1.6686990612289957e-16,-2.356009065809965,0.7855862413696215,0.0,0.4182286433693341,0.0,0.13428794822123857,0.0,3.4479988232228554e-17,0.0,0.0003002552050699657,-0.0006735356050767115,-0.0005884083990955322,0.0003002552050699102,-0.0006735356050766343,-0.0005884083990955322,0.006580546129033761,-0.001099348244464928,-0.0019012003177679257,0.0065805461290267975,-0.0010993482444662064,-0.0019012003177654893,0,2.5,2.5,3.534878517517642
0.080,pid_ff,soft_start,0.0009830659675592243,-2.6086538145085143e-09,1.2196425080286826,-3.180470101622391e-17,-0.04311548692198796,3.14159,1.1197425366289783e-15,-0.6000024407628667,1.7489287571277408e-16,-2.3559978378152877,0.7855974693642986,0.0,0.4196425080286825,0.0,0.13188451307801202,0.0,3.180470101622391e-17,0.0,0.0003341740179305412,-0.000775336279749122,-0.0006902256459399076,0.0003341740179304857,-0.000775336279749045,-0.0006902256459399076,0.007499374000701152,-0.000974520143094175,-0.002065694427139107,0.007499374000695287,-0.0009745201430957946,-0.0020656944271400454,0,2.5,2.5,3.5348388435152414
0.084,pid_ff,soft_start,0.0010403345141955147,-2.7606210457928596e-09,1.2210999799445368,-2.3878389997797256e-17,-0.04555951250413531,3.14159,1.971151814682951e-15,-0.6101355981052992,6.257965231402521e-16,-2.3559863794395404,0.7856089277400464,0.0,0.42109997994453674,0.0,0.12944048749586468,0.0,2.3878389997797256e-17,0.0,0.0003714495901039917,-0.000887211610164003,-0.0008021191885839335,0.00037144959010393624,-0.000887211610163926,-0.0008021191885839335,0.008475308164259381,-0.0008312669949402318,-0.0022309192717509443,0.008475308164271502,-0.0008312669949409418,-0.0022309192717519973,0,2.5,2.5,3.5347983568413106
0.088,pid_ff,soft_start,0.0010987838456168555,-2.9157215955810585e-09,1.2225998956260258,-4.7865372050292397e-17,-0.04804452016559338,3.14159,-4.936003981478565e-15,-0.6203665266100215,-4.9589212705733225e-16,-2.3559746845399645,0.7856206226396214,0.0,0.42259989562602573,0.0,0.1269554798344066,0.0,4.7865372050292397e-17,0.0,0.0004122188590701749,-0.0010095725873514579,-0.0009245000849631054,0.0004122188590701195,-0.0010095725873513807,-0.0009245000849631054,0.009514116607528917,-0.0014264367045574977,-0.00239660845873041,0.00951411660752246,-0.0014264367045519037,-0.002396608458731184,0,2.5,2.5,3.5347570358762233
0.092,pid_ff,soft_start,0.0011584531002373133,-3.0740593218962697e-09,1.2241410770162302,-3.219271342514414e-17,-0.050570666809092446,3.14159,1.453658261672504e-15,-0.6306366254574063,1.2904281807184338e-15,-2.3559627452686507,0.7856325619109352,0.0,0.42414107701623016,0.0,0.12442933319090754,0.0,3.219271342514414e-17,0.0,0.0004566159423478591,-0.0011428217387805968,-0.0010577709280741388,0.0004566159423478037,-0.0011428217387805196,-0.0010577709280741388,0.010577234090558493,-0.010972955914923487,-0.002563746883232987,0.01057723409055095,-0.010972955914923465,-0.002563746883230985,0,2.5,2.5,3.5347148529807457
0.096,pid_ff,soft_start,0.0012195103470856177,-3.2360802086407e-09,1.2257223329891034,-4.3714007977400986e-17,-0.05313794640472426,3.14159,-6.032200865565124e-16,-0.6409052195080714,8.107426265722552e-16,-2.3559505279778197,0.7856447792017667,0.0,0.42572233298910334,0.0,0.12186205359527573,0.0,4.3714007977400986e-17,0.0,0.0005047721544314265,-0.0012873531791917365,-0.0012023258968154444,0.0005047721544313711,-0.0012873531791916593,-0.0012023258968154444,0.011148277682123758,-0.011041295016825953,-0.0027492826865422025,0.011148277682134482,-0.011041295016827416,-0.002749282686539856,0,2.5,2.5,3.534671689372361
0.100,pid_ff,soft_start,0.0012818418477444937,-3.4014824428027636e-09,1.2273424723361692,-1.6479319922693065e-17,-0.05574596748983247,3.14159,5.165763202303555e-15,-0.6510760877959961,3.6390152219505426e-16,-2.3559380554065257,0.7856572517730607,0.0,0.4273424723361692,0.0,0.11925403251016753,0.0,1.6479319922693065e-17,0.0,0.0005568160237275769,-0.0014435526614285969,-0.0013585508068275996,0.0005568160237275215,-0.0014435526614285197,-0.0013585508068275996,0.011757516038898982,-0.011146340501406683,-0.0029741159367843253,0.01175751603890721,-0.011146340501406853,-0.0029741159367792746,0,2.5,2.5,3.534627625491434
0.104,pid_ff,soft_start,0.0013454342633260846,-3.5702306282927274e-09,1.2290003029812069,-1.5221344702201294e-17,-0.05839428966970138,3.14159,-2.1795510236427194e-16,-0.6611370147183036,-4.682791096025242e-16,-2.35592533020491,0.7856699769746758,0.0,0.42900030298120684,0.0,0.11660571033029861,0.0,1.5221344702201294e-17,0.0,0.00061287330949203,-0.0016117976272705008,-0.0015268231613338235,0.0006128733094919747,-0.0016117976272704236,-0.0015268231613338235,0.012472099292698388,-0.011377631390576522,-0.0031893519149442454,0.012472099292688268,-0.011377631390576792,-0.003189351914943246,0,2.5,2.5,3.534582670801163
0.108,pid_ff,soft_start,0.0014102974942046338,-3.742351035592954e-09,1.2306946351614279,-1.0210197771921576e-17,-0.06108232147687569,3.14159,2.648507967240878e-15,-0.6710502858581262,3.686971211227622e-17,-2.3559123503725132,0.7856829568070731,0.0,0.4306946351614278,0.0,0.1139176785231243,0.0,1.0210197771921576e-17,0.0,0.0006730670187662306,-0.0017924572582645733,-0.0017075122019804502,0.0006730670187661753,-0.001792457258264496,-0.0017075122019804502,0.01330547257394322,-0.011741438560688142,-0.0034007953794965946,0.013305472573951036,-0.011741438560688938,-0.0034007953794955178,0,2.5,2.5,3.534536818336987
0.112,pid_ff,soft_start,0.0014764447256282445,-3.917878653543792e-09,1.2324242853582892,-1.5547444952037946e-17,-0.06380934997647067,3.14159,-4.1475721711392345e-16,-0.6807855775795463,-9.994992492466498e-17,-2.3558991132509175,0.7856961939286684,0.0,0.43242428535828914,0.0,0.11119065002352932,0.0,1.5547444952037946e-17,0.0,0.000737517423314049,-0.001985892526557934,-0.001900978959677398,0.0007375174233139937,-0.0019858925265578567,-0.001900978959677398,0.01425038098936831,-0.012210234644604082,-0.0036081555489335788,0.014250380989340845,-0.012210234644603826,-0.003608155548935687,0,2.5,2.5,3.5344900588133332
0.116,pid_ff,soft_start,0.0015438894308134538,-4.096849235240994e-09,1.2341880793863191,-1.25688543728295e-17,-0.06657455780842508,3.14159,-8.281782110705842e-16,-0.6903168207371183,2.0027915270408227e-15,-2.3558856161234027,0.7857096910561836,0.0,0.4341880793863191,0.0,0.1084254421915749,0.0,1.25688543728295e-17,0.0,0.0008063420765584866,-0.0021924562457299023,-0.0021075763054386474,0.0008063420765584312,-0.002192456245729825,-0.0021075763054386474,0.015298227839760814,-0.01276193036701443,-0.003813465219601973,0.015298227839771018,-0.012761930367002402,-0.0038134652196038727,0,2.5,2.5,3.5344423827422555
0.120,pid_ff,soft_start,0.0016126447783265574,-4.27929772415336e-09,1.2359848552097643,-3.125282414639318e-17,-0.06937704544227788,3.14159,-2.4069429686400195e-15,-0.6996235019527215,1.0609207491360927e-15,-2.3558718563335255,0.7857234508460609,0.0,0.43598485520976427,0.0,0.10562295455772211,0.0,3.125282414639318e-17,0.0,0.0008796558305183785,-0.0024124931216241924,-0.0023276490012227135,0.0008796558305183231,-0.0024124931216241152,-0.0023276490012227135,0.0164401369809684,-0.01337841570828989,-0.0040177742277919355,0.016440136980977606,-0.01337841570828003,-0.004017774227793582,0,2.5,2.5,3.5343937808523878
0.124,pid_ff,soft_start,0.0016827237155777185,-4.4652584772071345e-09,1.2378134653990975,-2.3410672643284156e-17,-0.07221584908153067,3.14159,-7.847245311514815e-16,-0.7086895775619235,1.0516333014793405e-16,-2.355857831268402,0.7857374759111844,0.0,0.4378134653990975,0.0,0.10278415091846932,0.0,2.3410672643284156e-17,0.0,0.0009575708527450955,-0.0026463398031811095,-0.002561533750773115,0.0009575708527450401,-0.0026463398031810323,-0.002561533750773115,0.01766812949911318,-0.014046218066713044,-0.004221968972166888,0.017668129499121776,-0.014046218066717771,-0.004221968972168068,0,2.5,2.5,3.5343442440299313
0.128,pid_ff,soft_start,0.001754139113058374,-4.654765646328511e-09,1.2396727792933653,-2.0458000922569334e-17,-0.0750899563155034,3.14159,2.114026538595492e-15,-0.7175029112903497,-2.479459587740931e-16,-2.355843538329833,0.7857517688497531,0.0,0.43967277929336523,0.0,0.09991004368449659,0.0,2.0458000922569334e-17,0.0,0.0010401966432592492,-0.002894324933269752,-0.0028095592504588525,0.0010401966432591941,-0.002894324933269675,-0.0028095592504588525,0.018975194362693366,-0.014755224596303303,-0.004426644792191093,0.0189751943626831,-0.014755224596306613,-0.00442664479219184,0,2.5,2.5,3.534293763216714
0.132,pid_ff,soft_start,0.0018269039125987025,-4.847853576905893e-09,1.2415616848843634,-2.484391520553197e-17,-0.07799831912248678,3.14159,-2.1024485558415934e-15,-0.7260546130216947,7.798465292191216e-16,-2.3558289749046186,0.7857663322749673,0.0,0.4415616848843633,0.0,0.09700168087751321,0.0,2.484391520553197e-17,0.0,0.0011276400514873947,-0.0031567691995202075,-0.003072046240114879,0.0011276400514873396,-0.0031567691995201303,-0.003072046240114879,0.020355352930492815,-0.015497963355059303,-0.004632248869338548,0.02035535293048228,-0.015497963355061919,-0.004632248869333041,0,2.5,2.5,3.534242329305417
0.136,pid_ff,soft_start,0.0019010312555768042,-5.044557136314945e-09,1.2434790904491475,4.316058234709145e-17,-0.0809398647841025,3.14159,1.8527291106526918e-14,-0.7343385173439317,1.6798630310202968e-15,-2.355814138338884,0.7857811688407024,0.0,0.44347909044914746,0.0,0.09406013521589748,0.0,-4.316058234709145e-17,0.0,0.0012200052931987321,-0.003433985385155747,-0.0033493075538825706,0.001220005293198677,-0.00343398538515567,-0.0033493075538825706,0.021803587136124535,-0.01626893010898184,-0.00483911811359412,0.021803587136132035,-0.016268930108983996,-0.004839118113595674,0,2.5,2.5,3.5341899330489777
